Match Number,Federation,Series,Tournament,Location,Court,Surface,Round,Best of,Date GMT,Time GMT,Player ,Opponent,Player Rank,Opponent Rank,Player Ranking Points,Opponent Ranking Points,Result,Player Age,Player Aces,Player Double Faults,Player Serves,Player 1st Serve In,Player 1st Serve Won,Player 2nd Serve Won,Player 1st Serve Fault 
29,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,Quarterfinals,3,10/19/12,12:05:00,Karlovic I.,Roger-Vasselin E.,130,116,446,488,Win,33.62902122,23,1,62,43,36,12,0.306451613
30,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,Semifinals,3,10/20/12,17:20:00,Karlovic I.,Bellucci T.,130,41,446,967,Loss,33.62902122,19,4,113,73,53,22,0.353982301
31,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/14/13,04:15:00,Karlovic I.,Smyczek T.,103,125,536,448,Loss,33.87816564,16,4,110,69,51,21,0.372727273
32,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,1st Round,3,2/5/13,16:45:00,Karlovic I.,Dimitrov G.,130,40,411,973,Win,33.93566051,18,2,68,40,36,22,0.411764706
33,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,2nd Round,3,2/7/13,18:15:00,Karlovic I.,Dodig I.,130,63,411,743,Loss,33.93566051,22,3,88,55,47,16,0.375
34,ATP,ATP250,SAP Open,San Jose,Indoor,Hard,1st Round,3,2/14/13,01:00:00,Karlovic I.,Johnson S.,155,154,351,352,Loss,33.95482546,19,4,102,58,49,27,0.431372549
35,ATP,ATP250,International Championships,Delray Beach,Outdoor,Hard,1st Round,3,2/26/13,23:35:00,Karlovic I.,Nishikori K.,150,16,361,2100,Win,33.99315537,3,2,28,11,8,11,0.607142857
36,ATP,ATP250,International Championships,Delray Beach,Outdoor,Hard,2nd Round,3,2/28/13,16:06:00,Karlovic I.,Roger-Vasselin E.,150,105,361,507,Loss,33.99315537,15,5,71,43,34,12,0.394366197
37,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,1st Round,3,3/8/13,21:45:00,Karlovic I.,Sock J.,143,125,381,432,Win,34.01232033,12,6,81,43,38,23,0.469135802
38,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,2nd Round,3,3/11/13,02:55:00,Karlovic I.,Querrey S.,143,23,381,1695,Loss,34.01232033,13,3,57,35,26,11,0.385964912
39,ATP,ATP250,U.S. Men's Clay Court Championships,Houston,Outdoor,Clay,2nd Round,3,4/11/13,18:30:00,Karlovic I.,Williams R.,136,144,395,374,Loss,34.10814511,28,2,104,70,59,16,0.326923077
40,ATP,ATP250,Hall of Fame Championships,Newport,Outdoor,Grass,1st Round,3,7/9/13,17:40:00,Karlovic I.,Roger-Vasselin E.,167,71,310,708,Win,34.35728953,22,5,67,42,36,15,0.373134328
41,ATP,ATP250,Hall of Fame Championships,Newport,Outdoor,Grass,2nd Round,3,7/10/13,17:05:00,Karlovic I.,Pospisil V.,167,93,310,581,Win,34.35728953,7,4,77,42,31,16,0.454545455
42,ATP,ATP250,Hall of Fame Championships,Newport,Outdoor,Grass,Quarterfinals,3,7/12/13,18:05:00,Karlovic I.,Isner J.,167,19,310,1770,Loss,34.35728953,14,3,75,53,41,13,0.293333333
43,ATP,ATP250,Claro Open Colombia,Bogota,Outdoor,Clay,1st Round,3,7/16/13,18:00:00,Karlovic I.,Londero J.I.,155,564,355,48,Win,34.37645448,20,1,57,44,42,8,0.228070175
44,ATP,ATP250,Claro Open Colombia,Bogota,Outdoor,Clay,2nd Round,3,7/17/13,18:00:00,Karlovic I.,Sijsling I.,155,55,355,842,Win,34.37645448,24,3,73,58,49,9,0.205479452
45,ATP,ATP250,Claro Open Colombia,Bogota,Outdoor,Clay,Quarterfinals,3,7/19/13,18:05:00,Karlovic I.,Mannarino A.,155,74,355,695,Win,34.37645448,22,4,86,60,51,15,0.302325581
46,ATP,ATP250,Claro Open Colombia,Bogota,Outdoor,Clay,Semifinals,3,7/20/13,17:05:00,Karlovic I.,Anderson K.,155,23,355,1590,Win,34.37645448,22,6,93,68,56,14,0.268817204
47,ATP,ATP250,Claro Open Colombia,Bogota,Outdoor,Clay,The Final,3,7/21/13,17:05:00,Karlovic I.,Falla A.,155,122,355,466,Win,34.37645448,16,1,64,49,41,10,0.234375
48,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,1st Round,3,7/24/13,20:05:00,Karlovic I.,Ebden M.,87,117,605,483,Loss,34.39561944,4,5,22,12,9,2,0.454545455
49,ATP,Grand Slam,US Open,New York,Outdoor,Hard,1st Round,5,8/29/13,01:35:00,Karlovic I.,Blake J.,79,100,637,553,Win,34.49144422,38,8,171,107,90,29,0.374269006
50,ATP,Grand Slam,US Open,New York,Outdoor,Hard,2nd Round,5,8/30/13,23:25:00,Karlovic I.,Wawrinka S.,79,10,637,2610,Loss,34.49144422,12,6,108,68,52,21,0.37037037
51,ATP,ATP250,Open de Moselle,Metz,Indoor,Hard,1st Round,3,9/16/13,14:35:00,Karlovic I.,Querrey S.,73,31,697,1265,Loss,34.54893908,25,2,89,65,53,13,0.269662921
52,ATP,ATP250,Thailand Open,Bangkok,Indoor,Hard,1st Round,3,9/24/13,09:35:00,Karlovic I.,Tomic B.,80,50,652,880,Loss,34.56810404,25,5,110,70,51,19,0.363636364
53,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,1st Round,3,10/16/13,09:40:00,Karlovic I.,Kudla D.,86,95,622,583,Win,34.6255989,15,1,45,26,22,15,0.422222222
54,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,2nd Round,3,10/17/13,10:05:00,Karlovic I.,Istomin D.,86,47,622,920,Win,34.6255989,16,2,105,74,59,22,0.295238095
55,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,Quarterfinals,3,10/18/13,13:35:00,Karlovic I.,Khachanov K.,86,808,622,20,Win,34.6255989,11,1,37,25,22,10,0.324324324
56,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,Semifinals,3,10/19/13,16:05:00,Karlovic I.,Gasquet R.,86,10,622,3060,Loss,34.6255989,15,1,58,40,34,7,0.310344828
57,ATP,ATP500,Swiss Indoors,Basel,Indoor,Hard,1st Round,3,10/22/13,19:05:00,Karlovic I.,Berdych T.,83,7,622,4180,Win,34.64476386,23,4,115,73,60,20,0.365217391
58,ATP,ATP500,Swiss Indoors,Basel,Indoor,Hard,2nd Round,3,10/24/13,13:05:00,Karlovic I.,Pospisil V.,83,40,622,1053,Loss,34.64476386,8,3,51,32,28,6,0.37254902
59,ATP,ATP250,Qatar Exxon Mobil Open,Doha,Outdoor,Hard,1st Round,3,12/30/13,14:20:00,Karlovic I.,Berdych T.,78,7,647,4180,Win,34.83641342,24,2,83,54,45,17,0.34939759
60,ATP,ATP250,Qatar Exxon Mobil Open,Doha,Outdoor,Hard,2nd Round,3,1/1/14,14:35:00,Karlovic I.,Brown D.,78,111,647,506,Loss,34.83641342,21,3,110,80,61,13,0.272727273
61,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/13/14,00:05:00,Karlovic I.,Dodig I.,75,34,667,1190,Loss,34.87474333,25,1,101,67,55,18,0.336633663
62,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,1st Round,3,2/4/14,18:45:00,Karlovic I.,Brands D.,79,68,667,719,Win,34.93223819,44,2,93,69,63,18,0.258064516
63,ATP,ATP250,PBZ Zagreb Indoors,Zagreb,Indoor,Hard,2nd Round,3,2/6/14,16:05:00,Karlovic I.,Dodig I.,79,34,667,1145,Loss,34.93223819,12,0,57,41,33,9,0.280701754
64,ATP,ATP250,U.S. National Indoor Tennis Championships,Memphis,Indoor,Hard,1st Round,3,2/11/14,17:05:00,Karlovic I.,Ebden M.,80,62,667,746,Win,34.95140315,14,3,63,48,39,8,0.238095238
