Player Name,Match Date,Twitter Usage 36h,1st Serve Fault 
Karlovic I.,10/6/14 8:30,1,0.388888889
Karlovic I.,10/7/14 8:45,0,0.305084746
Karlovic I.,10/9/14 6:05,0,0.346153846
Karlovic I.,10/14/14 14:30,0,0.273584906
Karlovic I.,10/15/14 16:00,0,0.281690141
Karlovic I.,10/17/14 18:15,0,0.289855072
Karlovic I.,10/21/14 16:35,0,0.2
Karlovic I.,10/23/14 15:35,0,0.404761905
Karlovic I.,10/24/14 16:05,0,0.258064516
Karlovic I.,10/25/14 16:05,0,0.258823529
Karlovic I.,10/28/14 15:40,0,0.388888889
Karlovic I.,1/5/15 19:25,1,0.38961039
Karlovic I.,1/7/15 12:35,2,0.295081967
Karlovic I.,1/8/15 14:05,1,0.262626263
Karlovic I.,1/9/15 13:35,2,0.307692308
Karlovic I.,1/19/15 8:10,0,0.275362319
Karlovic I.,1/21/15 6:35,0,0.327272727
Karlovic I.,2/4/15 17:30,1,0.166666667
Karlovic I.,2/10/15 17:05,1,0.309859155
Karlovic I.,2/11/15 18:15,0,0.397849462
Karlovic I.,2/17/15 1:05,0,0.361445783
Karlovic I.,2/18/15 17:35,0,0.378378378
Karlovic I.,2/21/15 1:05,0,0.432835821
Karlovic I.,2/22/15 1:05,0,0.37704918
Karlovic I.,2/22/15 20:05,0,0.406779661
Karlovic I.,2/25/15 2:15,1,0.419753086
Karlovic I.,2/26/15 1:00,0,0.402985075
Karlovic I.,2/27/15 3:45,0,0.345794393
Karlovic I.,3/16/15 0:15,0,0.320754717
Karlovic I.,3/28/15 18:55,0,0.452830189
Karlovic I.,4/22/15 14:50,0,0.220588235
Karlovic I.,4/24/15 10:05,0,0.37037037
Karlovic I.,5/5/15 18:30,0,0.326086957
Karlovic I.,5/24/15 11:25,1,0.401785714
Karlovic I.,6/10/15 14:35,0,0.260869565
Karlovic I.,6/12/15 11:40,4,0.436170213
Karlovic I.,6/16/15 11:05,1,0.292134831
Karlovic I.,6/17/15 12:50,0,0.317073171
Karlovic I.,6/19/15 11:05,2,0.291262136
Karlovic I.,6/20/15 12:05,2,0.323943662
Karlovic I.,6/30/15 11:35,0,0.387096774
